429: x: -1.34793, y: 0.392378, zNormal: 0.127092
430: x: -1.3368, y: 0.429656, zNormal: 0.138196
431: x: -1.41492, y: -0.0393935, zNormal: 0.454291
432: x: -1.40974, y: 0.00261958, zNormal: 0.554913
433: x: -1.39198, y: 0.0349782, zNormal: 0.327586
434: x: -1.39995, y: 0.0924124, zNormal: 0.225296
435: x: -1.41204, y: 0.1514, zNormal: 0.168875
436: x: -1.4031, y: 0.200846, zNormal: 0.1571
437: x: -1.38944, y: 0.249387, zNormal: 0.147793
438: x: -1.36834, y: 0.299486, zNormal: 0.165492
439: x: -1.35456, y: 0.346759, zNormal: 0.18037
440: x: -1.34118, y: 0.394929, zNormal: 0.183775
441: x: -1.33027, y: 0.434517, zNormal: 0.183291
442: x: -1.41997, y: -0.0318129, zNormal: 0.44843
443: x: -1.39982, y: -0.00144273, zNormal: 0.372997
444: x: -1.39232, y: 0.0438541, zNormal: 0.253525
445: x: -1.41254, y: 0.083722, zNormal: 0.242703
446: x: -1.40527, y: 0.172362, zNormal: 0.199228
447: x: -1.39711, y: 0.20366, zNormal: 0.168597
448: x: -1.38224, y: 0.252283, zNormal: 0.165058
449: x: -1.36367, y: 0.300291, zNormal: 0.213177
450: x: -1.34905, y: 0.348993, zNormal: 0.221494
451: x: -1.33676, y: 0.397664, zNormal: 0.235009
452: x: -1.32347, y: 0.437231, zNormal: 0.22801
453: x: -1.41261, y: -0.0351672, zNormal: 0.395535
454: x: -1.39418, y: 0.00444959, zNormal: 0.321106
455: x: -1.41187, y: 0.0462587, zNormal: 0.262958
456: x: -1.39881, y: 0.173872, zNormal: 0.219786
457: x: -1.39375, y: 0.20445, zNormal: 0.23099
458: x: -1.37954, y: 0.254176, zNormal: 0.235441
459: x: -1.36314, y: 0.298672, zNormal: 0.249072
460: x: -1.34741, y: 0.35099, zNormal: 0.258324
461: x: -1.33256, y: 0.39864, zNormal: 0.269824
462: x: -1.32278, y: 0.437373, zNormal: 0.27012
463: x: -1.45467, y: 0.536309, zNormal: 0.0244372
464: x: -1.54377, y: -0.142781, zNormal: -0.77359
465: x: -1.53407, y: -0.110798, zNormal: -0.685317
466: x: -1.53121, y: -0.0677863, zNormal: -0.625522
467: x: -1.51932, y: -0.053476, zNormal: 0.45218
468: x: -1.51102, y: -0.0486967, zNormal: 0.305209
469: x: -1.49805, y: -0.0428127, zNormal: 0.25422
470: x: -1.48924, y: -0.0367111, zNormal: 0.193329
471: x: -1.47854, y: -0.0299037, zNormal: 0.274778
472: x: -1.50146, y: -0.0140274, zNormal: 0.251765
473: x: -1.47614, y: 0.0588584, zNormal: 0.524429
474: x: -1.48014, y: 0.090125, zNormal: 0.364966
475: x: -1.46972, y: 0.14646, zNormal: 0.222441
476: x: -1.48101, y: -0.0272838, zNormal: 0.206682
477: x: -1.45625, y: 0.0650919, zNormal: 0.466487
