358: x: -1.44846, y: 0.147685, xCell: 1, yCell: 4
359: x: -1.44104, y: 0.177345, xCell: 1, yCell: 4
360: x: -1.42901, y: 0.216225, xCell: 1, yCell: 4
361: x: -1.44607, y: 0.150352, xCell: 1, yCell: 4
362: x: -1.43865, y: 0.180124, xCell: 1, yCell: 4
363: x: -1.42383, y: 0.224155, xCell: 1, yCell: 4
364: x: -1.48452, y: -0.112118, xCell: 1, yCell: 4
365: x: -1.47503, y: -0.0777361, xCell: 1, yCell: 4
366: x: -1.44004, y: 0.149305, xCell: 1, yCell: 4
367: x: -1.43323, y: 0.182166, xCell: 1, yCell: 4
368: x: -1.42062, y: 0.23148, xCell: 1, yCell: 4
369: x: -1.40877, y: 0.269583, xCell: 1, yCell: 4
370: x: -1.46329, y: -0.0704425, xCell: 1, yCell: 4
371: x: -1.43828, y: 0.150441, xCell: 1, yCell: 4
372: x: -1.42848, y: 0.184379, xCell: 1, yCell: 4
373: x: -1.41634, y: 0.233902, xCell: 1, yCell: 4
374: x: -1.40273, y: 0.279337, xCell: 1, yCell: 4
375: x: -1.39517, y: 0.310988, xCell: 1, yCell: 4
376: x: -1.3855, y: 0.371594, xCell: 1, yCell: 4
377: x: -1.44155, y: -0.0587501, xCell: 1, yCell: 4
378: x: -1.434, y: 0.152514, xCell: 1, yCell: 4
379: x: -1.4242, y: 0.186706, xCell: 1, yCell: 4
380: x: -1.41, y: 0.235754, xCell: 1, yCell: 4
381: x: -1.39815, y: 0.285003, xCell: 1, yCell: 4
382: x: -1.38615, y: 0.320307, xCell: 1, yCell: 4
383: x: -1.37709, y: 0.380041, xCell: 1, yCell: 4
384: x: -1.44863, y: -0.0624854, xCell: 1, yCell: 4
385: x: -1.43408, y: 0.153286, xCell: 1, yCell: 4
386: x: -1.41905, y: 0.188497, xCell: 1, yCell: 4
387: x: -1.4038, y: 0.237573, xCell: 1, yCell: 4
388: x: -1.39071, y: 0.286491, xCell: 1, yCell: 4
389: x: -1.37883, y: 0.32843, xCell: 1, yCell: 4
390: x: -1.37008, y: 0.384176, xCell: 1, yCell: 4
391: x: -1.44415, y: -0.0590126, xCell: 1, yCell: 4
392: x: -1.42836, y: 0.15742, xCell: 1, yCell: 4
393: x: -1.41566, y: 0.190729, xCell: 1, yCell: 4
394: x: -1.40033, y: 0.239851, xCell: 1, yCell: 4
395: x: -1.38741, y: 0.288979, xCell: 1, yCell: 4
396: x: -1.37406, y: 0.333888, xCell: 1, yCell: 4
397: x: -1.36277, y: 0.387326, xCell: 1, yCell: 4
398: x: -1.35761, y: 0.417011, xCell: 1, yCell: 4
399: x: -1.43715, y: -0.0447206, xCell: 1, yCell: 4
400: x: -1.42297, y: 0.0132566, xCell: 1, yCell: 4
401: x: -1.44109, y: 0.0362637, xCell: 1, yCell: 4
402: x: -1.42333, y: 0.161497, xCell: 1, yCell: 4
403: x: -1.41406, y: 0.193824, xCell: 1, yCell: 4
404: x: -1.39601, y: 0.242032, xCell: 1, yCell: 4
405: x: -1.38453, y: 0.291611, xCell: 1, yCell: 4
406: x: -1.36926, y: 0.337176, xCell: 1, yCell: 4
407: x: -1.35618, y: 0.386951, xCell: 1, yCell: 4
408: x: -1.34852, y: 0.423998, xCell: 1, yCell: 4
409: x: -1.44542, y: -0.0440737, xCell: 1, yCell: 4
410: x: -1.41303, y: -0.00105324, xCell: 1, yCell: 4
411: x: -1.4111, y: 0.0349822, xCell: 1, yCell: 4
412: x: -1.40769, y: 0.0961013, xCell: 1, yCell: 4
413: x: -1.41759, y: 0.144217, xCell: 1, yCell: 4
414: x: -1.41129, y: 0.19626, xCell: 1, yCell: 4
415: x: -1.39343, y: 0.245002, xCell: 1, yCell: 4
416: x: -1.37996, y: 0.294087, xCell: 1, yCell: 4
417: x: -1.36664, y: 0.34273, xCell: 1, yCell: 4
418: x: -1.35287, y: 0.389106, xCell: 1, yCell: 4
419: x: -1.34336, y: 0.423121, xCell: 1, yCell: 4
420: x: -1.43053, y: -0.0350254, xCell: 1, yCell: 4
421: x: -1.41486, y: -0.000385538, xCell: 1, yCell: 4
422: x: -1.40244, y: 0.0317346, xCell: 1, yCell: 4
423: x: -1.39371, y: 0.0985121, xCell: 1, yCell: 4
424: x: -1.41024, y: 0.146193, xCell: 1, yCell: 4
425: x: -1.40822, y: 0.198656, xCell: 1, yCell: 4
426: x: -1.39316, y: 0.249966, xCell: 1, yCell: 4
427: x: -1.37434, y: 0.296217, xCell: 1, yCell: 4
428: x: -1.36093, y: 0.344877, xCell: 1, yCell: 4
429: x: -1.34793, y: 0.392378, xCell: 1, yCell: 4
430: x: -1.3368, y: 0.429656, xCell: 1, yCell: 4
431: x: -1.41492, y: -0.0393935, xCell: 1, yCell: 4
432: x: -1.40974, y: 0.00261958, xCell: 1, yCell: 4
433: x: -1.39198, y: 0.0349782, xCell: 1, yCell: 4
434: x: -1.39995, y: 0.0924124, xCell: 1, yCell: 4
435: x: -1.41204, y: 0.1514, xCell: 1, yCell: 4
